timestep,nC,nsys,dC_normF,dC_rel,coupling_change,correction_rel,cap_cond,cap_smin,cap_smax,cap_rcond,cap_symres,woodbury_err,woodbury_relres,frozen_err,frozen_relres,fresh_err,fresh_relres,backslash_relres,t_woodbury_net,t_woodbury,t_woodbury_diag,t_frozen,t_fresh,cum_woodbury,cum_fresh
51,78,15759,8.85996294533804,1.39217629083898,1.25066890080541,0.990285216890338,10963724119665.7,1.77252451954719e-09,19433.4698276584,5.42906949211122e-14,2.64762882446262e-15,2.07668851455459e-08,4.71190847425193e-12,0.990285217239889,6.16473984917994,0,1.6756034132687e-13,1.6756034132687e-13,0.041433,0.043252,0.001486,0.003277,0.079838,2.473676,4.869928
52,78,15759,8.754844819465,1.37565895736019,1.19975157649743,0.716893139893979,19532814.7903225,0.000994913714600319,19433.4653196398,2.09861872904501e-08,2.64762953813294e-15,3.76765741697368e-13,1.25857293186977e-12,0.716893139893896,3.70914582093308,0,2.11787296342535e-15,2.11787296342535e-15,0.043934,0.046266,0.001432,0.001802,0.079193,2.51761,4.949121
53,78,15759,8.60548393159552,1.35218970718912,1.1841991066129,0.757476754824997,101687737.134532,0.00019110919696436,19433.4617849034,4.67538710006575e-09,2.64762972717287e-15,1.15740578063653e-12,1.08322141274744e-12,0.757476754825117,2.85073261079361,0,2.31769447029629e-15,2.31769447029629e-15,0.039276,0.040819,0.001543,0.001821,0.066488,2.556886,5.015609
54,78,15759,8.69116934111115,1.36565355532646,1.21696568286632,0.710514496809316,227757409.40035,8.53252573631621e-05,19433.4595734519,1.72453436966802e-09,2.64762986929469e-15,1.28386690396823e-12,8.19065080047413e-13,0.710514496809258,2.430222267165,0,2.36525938930045e-15,2.36525938930045e-15,0.040692,0.042649,0.001945,0.001675,0.106326,2.597578,5.121935
55,78,15759,8.64677335712496,1.35867756268457,1.19410617063075,0.684038567571609,28211239.9664562,0.000688855166771431,19433.458411922,1.59325030632825e-08,2.64762965283204e-15,1.98759874988785e-13,8.7306451128344e-13,0.684038567571588,3.23019952731267,0,2.20009145646583e-15,2.20009145646583e-15,0.039938,0.041525,0.001408,0.001593,0.078043,2.637516,5.199978
56,78,15759,8.64566384487349,1.358503223733,1.18469188070984,0.593965472621998,72084659.5647629,0.000269592146915311,19433.4581317237,7.26738299125368e-09,2.64761398674496e-15,2.06585274939122e-13,7.02420021865361e-13,0.593965472622019,5.20812582887622,0,1.96238926020836e-15,1.96238926020836e-15,0.041203,0.042934,0.001731,0.00166,0.093411,2.678719,5.293389
57,78,15759,8.69558707365567,1.36634771878354,1.21142162192856,0.494108593606611,10974175.4432318,0.00177083550603599,19433.4595243432,5.76700007177506e-08,2.64767283039285e-15,1.28102277485123e-13,8.36709263626594e-13,0.494108593606575,2.72299813275239,0,1.86264195967293e-15,1.86264195967293e-15,0.041427,0.043452,0.001617,0.001698,0.149303,2.720146,5.442692
58,78,15759,8.4297165387742,1.32457117215707,1.17741688662208,0.388916374859006,83609442.633823,0.000232431451370763,19433.4640996801,6.75869083892017e-09,2.64762044010762e-15,4.36696509565631e-13,5.68157974636952e-13,0.38891637485913,2.83389022653626,0,1.70533564176941e-15,1.70533564176941e-15,0.042412,0.044103,0.00169,0.001742,0.120733,2.762558,5.563425
59,78,15759,8.32476394005402,1.30807984815249,1.2023745087015,0.290902301483993,307455515.831664,6.32074397623045e-05,19433.4759965182,1.2757488204499e-09,2.64764634861592e-15,1.29193085410168e-12,4.15356371653088e-13,0.29090230148382,2.90547228434965,0,1.96162653226587e-15,1.96162653226587e-15,0.04382,0.048771,0.001906,0.002103,0.116544,2.806378,5.679969
60,78,15759,8.05054675215667,1.26499178222191,1.19410588030157,0.245994581582355,362140988.154522,5.36627906023739e-05,19433.4960158729,1.60089117461033e-09,2.64761120646083e-15,6.06024290775472e-13,3.14677069088108e-13,0.245994581582289,1.12112768660161,0,1.66547757849332e-15,1.66547757849332e-15,0.044773,0.047036,0.001727,0.002019,0.115721,2.851151,5.79569
